code_station,libelle_station,region,statut,date_mise_en_service,nb_points
ST-081,Nantes — Gare,Pays de la Loire,ACT,2019-04-01,4
ST-082,Poitiers — Hôpital,Nouvelle-Aquitaine,ACT,2019-04-24,4
ST-083,Toulouse — Université,Occitanie,ACT,2020-04-06,6
ST-084,Angoulême — Port,Nouvelle-Aquitaine,ACT,2023-08-08,4
ST-085,La Roche — Parc des Expos,Pays de la Loire,ACT,2019-09-09,2
ST-086,Brest — Parc des Expos,Bretagne,ACT,2022-10-12,2
ST-087,Vannes — Université,Bretagne,ACT,2021-09-13,2
ST-088,Caen — Université,Normandie,ACT,2021-08-06,2
ST-089,Bordeaux — Gare,Nouvelle-Aquitaine,ACT,2021-08-13,4
ST-090,Nancy — Université,Grand Est,ACT,2022-09-06,2
ST-091,Strasbourg — Port,Grand Est,ACT,2021-08-01,8
ST-092,Metz — Port,Grand Est,ACT,2022-01-21,4
ST-093,Angoulême — Aéroport,Nouvelle-Aquitaine,ACT,2021-06-02,6
ST-094,Toulouse — Aéroport,Occitanie,ACT,2020-03-30,4
ST-095,Cherbourg — Port,Normandie,ACT,2019-11-18,6
ST-096,Perpignan — Université,Occitanie,ACT,2024-04-26,2
ST-097,Cherbourg — Centre,Normandie,ACT,2019-04-27,4
ST-098,Limoges — Aéroport,Nouvelle-Aquitaine,ACT,2019-12-16,2
ST-099,Caen — Gare,Normandie,ACT,2023-11-19,2
ST-100,Le Havre — Zone Nord,Normandie,ACT,2020-06-19,6
ST-101,Nîmes — Marché,Occitanie,ACT,2023-10-18,4
ST-102,Lorient — Parc des Expos,Bretagne,ACT,2021-03-26,6
ST-103,Metz — Marché,Grand Est,ACT,2019-12-29,4
ST-104,Vannes — Centre,Bretagne,ACT,2021-01-06,6
ST-105,Le Mans — Stade,Pays de la Loire,ACT,2019-04-22,6
ST-106,Colmar — Centre,Grand Est,ACT,2023-10-10,6
ST-107,Metz — Parc des Expos,Grand Est,ACT,2023-10-15,2
ST-108,Évreux — Marché,Normandie,ACT,2023-11-27,6
ST-109,Strasbourg — Aéroport,Grand Est,ACT,2023-12-27,4
ST-110,Montpellier — Hôpital,Occitanie,ACT,2020-08-08,8
ST-111,Albi — Université,Occitanie,ACT,2019-09-14,6
ST-112,Vannes — Port,Bretagne,ACT,2021-05-27,6
ST-113,Toulouse — Gare,Occitanie,ACT,2023-03-10,4
ST-114,Limoges — Université,Nouvelle-Aquitaine,ACT,2021-11-04,8
ST-115,Lorient — Hôpital,Bretagne,ACT,2024-06-14,4
ST-116,Nîmes — Centre,Occitanie,ACT,2020-12-01,2
ST-117,Montpellier — Port,Occitanie,ACT,2023-11-19,4
ST-118,Montpellier — Centre,Occitanie,ACT,2023-03-03,4
ST-119,Perpignan — Gare,Occitanie,ACT,2019-09-28,2
ST-120,Rouen — Stade,Normandie,ACT,2019-03-15,4
ST-121,Poitiers — Zone Nord,Nouvelle-Aquitaine,RET,2023-11-25,4
ST-122,Metz — Zone Nord,Grand Est,RET,2021-05-22,8
ST-123,Laval — Université,Pays de la Loire,RET,2022-12-18,4
ST-124,Cherbourg — Parc des Expos,Normandie,RET,2020-01-24,4
ST-125,Le Havre — Aéroport,Normandie,RET,2021-09-18,2
ST-126,Angoulême — Parc des Expos,Nouvelle-Aquitaine,RET,2019-10-04,2
ST-127,Lorient — Université,Bretagne,RET,2023-09-09,4
ST-128,Nancy — Stade,Grand Est,RET,2023-10-06,6
ST-129,Rennes — Centre,Bretagne,RET,2021-11-16,2
ST-130,Quimper — Marché,Bretagne,RET,2022-11-14,2
ST-131,Cherbourg — Hôpital,Normandie,RET,2021-05-05,8
ST-132,Reims — Stade,Grand Est,RET,2023-05-25,2
ST-133,Rennes — Stade,Bretagne,RET,2022-07-30,4
ST-134,Reims — Gare,Grand Est,RET,2020-12-23,8
ST-135,Poitiers — Stade,Nouvelle-Aquitaine,RET,2020-03-06,4
ST-136,Limoges — Zone Nord,Nouvelle-Aquitaine,RET,2023-05-13,8
ST-137,Angers — Université,Pays de la Loire,RET,2023-11-28,4
ST-138,Rennes — Parc des Expos,Bretagne,RET,2022-06-29,2
ST-139,Angoulême — Stade,Nouvelle-Aquitaine,RET,2023-03-29,8
ST-140,Vannes — Marché,Bretagne,RET,2019-01-16,4
ST-141,Quimper — Zone Nord,Bretagne,RET,2019-07-25,4
ST-142,Poitiers — Port,Nouvelle-Aquitaine,RET,2019-03-31,6
ST-143,Rouen — Marché,Normandie,RET,2020-03-30,2
ST-144,Reims — Marché,Grand Est,RET,2021-06-26,6
ST-145,Nancy — Marché,Grand Est,RET,2022-05-30,4
ST-146,La Roche — Université,Pays de la Loire,RET,2021-09-20,8
ST-147,Colmar — Parc des Expos,Grand Est,RET,2021-04-05,6
ST-148,Montpellier — Marché,Occitanie,RET,2019-07-01,2
ST-149,Le Mans — Zone Nord,Pays de la Loire,RET,2021-04-19,4
ST-150,Le Havre — Gare,Normandie,RET,2022-12-27,2
