intervention_id,station_libelle,date_signalement,date_resolution,nature,duree_indispo_min,technicien
43,Bordeaux — Centre,2025-08-12,2025-08-19,câble endommagé,921,TECH-17
44,Nantes — Port,2025-11-02,2025-11-12,défaut de paiement carte,170,TECH-01
45,La Roche — Hôpital,2025-10-09,2025-10-12,borne hors service,-1,TECH-16
46,Reims — Stade,2025-01-25,2025-01-28,borne hors service,2760,TECH-15
47,Lorient — Marché,2025-07-28,2025-08-02,écran illisible,-1,TECH-06
48,Laval — Hôpital,2025-06-03,2025-06-07,défaut de paiement carte,2121,TECH-11
49,Quimper — Marché,2025-08-13,2025-08-30,maintenance préventive,-1,TECH-15
50,Cherbourg — Port,2025-09-08,2025-09-29,maintenance préventive,2652,TECH-16
51,Colmar — Parc des Expos,2025-02-13,2025-02-19,écran illisible,1095,TECH-07
52,Angoulême — Parc des Expos,2025-10-08,2025-10-29,écran illisible,2355,TECH-04
53,Vannes — Université,2025-10-05,2025-10-14,communication réseau perdue,1186,TECH-02
54,Nîmes — Stade,2025-04-16,2025-05-03,écran illisible,-1,TECH-13
55,Metz — Hôpital,2025-06-26,2025-06-27,écran illisible,83,TECH-11
56,Angers — Marché,2025-10-08,2025-10-11,écran illisible,839,TECH-10
57,Lorient — Université,2025-10-02,2025-10-08,écran illisible,2752,TECH-15
58,Poitiers — Hôpital,2025-09-05,2025-09-23,câble endommagé,2010,TECH-03
59,Montpellier — Marché,2025-11-07,2025-11-28,défaut de paiement carte,449,TECH-12
60,Vannes — Centre,2025-03-29,2025-04-09,borne hors service,1529,TECH-11
61,Poitiers — Port,2025-01-08,2025-01-22,communication réseau perdue,1171,TECH-01
62,Le Mans — Aéroport,2025-05-04,2025-05-12,câble endommagé,311,TECH-15
63,Angoulême — Port,2025-12-13,2025-12-31,communication réseau perdue,925,TECH-05
64,Rouen — Marché,2025-12-01,2025-12-21,maintenance préventive,1390,TECH-15
65,Reims — Marché,2025-01-31,2025-02-17,câble endommagé,1487,TECH-16
66,Angoulême — Zone Nord,2025-09-04,2025-09-23,câble endommagé,1255,TECH-11
67,Le Havre — Port,2025-08-31,2025-09-19,défaut de paiement carte,1750,TECH-18
68,Reims — Zone Nord,2025-10-24,2025-10-27,maintenance préventive,1006,TECH-13
69,Le Havre — Gare,2025-11-02,2025-11-09,maintenance préventive,737,TECH-05
70,Montpellier — Marché,2025-02-14,2025-02-17,écran illisible,143,TECH-10
71,Laval — Gare,2025-02-04,2025-02-13,communication réseau perdue,789,TECH-11
72,Metz — Parc des Expos,2025-12-08,2025-12-12,écran illisible,755,TECH-06
73,Le Havre — Aéroport,2025-12-14,2025-12-24,maintenance préventive,2136,TECH-11
74,Pau — Marché,2025-04-07,2025-04-23,défaut de paiement carte,1294,TECH-15
75,Angers — Université,2025-07-05,2025-07-23,défaut de paiement carte,-1,TECH-12
76,Montpellier — Aéroport,2025-01-05,2025-01-05,câble endommagé,-1,TECH-09
77,Lorient — Hôpital,2025-05-22,2025-06-01,écran illisible,1011,TECH-10
78,Strasbourg — Port,2025-12-12,2025-12-22,écran illisible,1063,TECH-11
79,Reims — Gare,2025-12-06,2025-12-06,maintenance préventive,1214,TECH-09
80,Nantes — Zone Nord,2025-07-07,2025-07-09,câble endommagé,1622,TECH-10
81,Nîmes — Stade,2025-08-24,2025-09-06,maintenance préventive,59,TECH-09
82,Quimper — Zone Nord,2025-07-31,2025-08-14,borne hors service,118,TECH-14
83,Perpignan — Marché,2025-06-01,2025-06-13,maintenance préventive,497,TECH-04
84,Strasbourg — Gare,2025-05-24,2025-05-26,câble endommagé,290,TECH-15
85,Quimper — Zone Nord,2025-07-08,2025-07-24,câble endommagé,1679,TECH-01
86,Poitiers — Zone Nord,2025-06-18,2025-07-05,maintenance préventive,1682,TECH-12
87,Metz — Port,2025-01-29,2025-02-01,borne hors service,2183,TECH-01
88,Laval — Gare,2025-01-21,2025-01-29,communication réseau perdue,2740,TECH-18
89,Angers — Gare,2025-03-03,2025-03-17,défaut de paiement carte,2300,TECH-06
90,Angers — Marché,2025-07-17,2025-07-25,défaut de paiement carte,501,TECH-12
91,Nantes — Zone Nord,2025-07-15,2025-07-26,borne hors service,551,TECH-03
92,Quimper — Zone Nord,2025-05-10,2025-05-19,communication réseau perdue,891,TECH-16
93,Angers — Port,2025-07-20,2025-08-09,écran illisible,-1,TECH-17
94,Montpellier — Centre,2025-06-08,2025-06-16,borne hors service,331,TECH-02
95,Nancy — Université,2025-03-12,2025-03-13,défaut de paiement carte,2242,TECH-09
96,Cherbourg — Hôpital,2025-11-14,2025-12-04,défaut de paiement carte,2080,TECH-05
97,Rennes — Parc des Expos,2025-04-10,2025-05-01,câble endommagé,511,TECH-12
98,Quimper — Université,2025-08-17,2025-08-25,communication réseau perdue,695,TECH-03
99,Nantes — Parc des Expos,2025-07-02,2025-07-12,câble endommagé,2292,TECH-18
100,Le Havre — Marché,2025-11-10,2025-11-24,communication réseau perdue,912,TECH-16
101,Strasbourg — Hôpital,2025-02-19,2025-02-25,communication réseau perdue,1616,TECH-14
102,Montpellier — Marché,2025-08-06,2025-08-25,câble endommagé,2446,TECH-15
103,Limoges — Université,2025-04-14,2025-05-03,communication réseau perdue,-1,TECH-07
104,Perpignan — Parc des Expos,2025-04-26,2025-05-16,câble endommagé,1311,TECH-13
105,Le Havre — Port,2025-10-08,2025-10-16,câble endommagé,2702,TECH-13
106,Le Havre — Marché,2025-04-12,2025-05-03,câble endommagé,551,TECH-08
107,Poitiers — Port,2025-03-27,2025-04-11,communication réseau perdue,-1,TECH-10
108,Rouen — Hôpital,2025-06-24,2025-07-09,câble endommagé,2437,TECH-05
109,Angoulême — Aéroport,2025-08-15,2025-08-27,maintenance préventive,38,TECH-02
110,Angoulême — Stade,2025-06-12,2025-07-02,maintenance préventive,1809,TECH-02
111,Poitiers — Centre,2025-06-24,2025-06-30,maintenance préventive,821,TECH-03
112,Rennes — Parc des Expos,2025-03-16,2025-03-19,maintenance préventive,1588,TECH-04
113,Montpellier — Marché,2025-05-02,2025-05-07,défaut de paiement carte,26,TECH-07
114,Poitiers — Zone Nord,2025-02-09,2025-02-21,communication réseau perdue,2126,TECH-15
115,Nancy — Centre,2025-03-17,2025-04-07,communication réseau perdue,2365,TECH-01
116,Bordeaux — Marché,2025-10-07,2025-10-09,défaut de paiement carte,1783,TECH-02
117,Angoulême — Port,2025-09-25,2025-09-28,maintenance préventive,-1,TECH-05
118,Reims — Gare,2025-09-14,2025-09-23,écran illisible,-1,TECH-07
119,Limoges — Centre,2025-09-12,2025-09-25,borne hors service,1985,TECH-01
120,Poitiers — Port,2025-03-08,2025-03-28,défaut de paiement carte,-1,TECH-07
121,Évreux — Marché,2025-02-08,2025-02-28,câble endommagé,1344,TECH-10
122,Colmar — Centre,2025-12-13,2025-12-16,borne hors service,1577,TECH-12
123,Strasbourg — Aéroport,2025-09-27,2025-09-29,écran illisible,2743,TECH-17
124,Le Havre — Marché,2025-12-16,2025-12-31,écran illisible,136,TECH-16
125,Brest — Hôpital,2025-08-08,2025-08-13,câble endommagé,460,TECH-12
126,Colmar — Université,2025-12-14,2025-12-21,défaut de paiement carte,-1,TECH-11
127,Quimper — Marché,2025-04-12,2025-05-02,communication réseau perdue,589,TECH-08
128,Perpignan — Université,2025-11-16,2025-11-22,maintenance préventive,1311,TECH-10
129,Limoges — Aéroport,2025-08-13,2025-08-26,défaut de paiement carte,2515,TECH-06
130,Limoges — Hôpital,2025-08-11,2025-08-27,câble endommagé,1680,TECH-06
131,Rennes — Université,2025-02-17,2025-02-26,défaut de paiement carte,2407,TECH-02
132,Colmar — Parc des Expos,2025-01-02,2025-01-07,câble endommagé,2865,TECH-06
133,Limoges — Aéroport,2025-05-21,2025-06-11,communication réseau perdue,2599,TECH-04
134,Poitiers — Zone Nord,2025-04-20,2025-05-09,câble endommagé,807,TECH-08
135,Le Havre — Gare,2025-10-30,2025-11-15,communication réseau perdue,321,TECH-05
136,Évreux — Marché,2025-04-16,2025-04-19,défaut de paiement carte,413,TECH-13
137,Le Mans — Stade,2025-02-27,2025-03-11,borne hors service,1730,TECH-12
138,Poitiers — Stade,2025-01-26,2025-02-15,câble endommagé,1192,TECH-11
139,La Roche — Université,2025-02-17,2025-03-07,écran illisible,-1,TECH-15
140,Reims — Gare,2025-10-07,2025-10-21,défaut de paiement carte,1362,TECH-10
141,Metz — Hôpital,2025-10-10,2025-10-13,borne hors service,1023,TECH-16
142,Metz — Parc des Expos,2025-10-09,2025-10-23,maintenance préventive,-1,TECH-08
143,Bordeaux — Marché,2025-10-20,2025-10-20,maintenance préventive,726,TECH-14
144,Strasbourg — Gare,2025-06-12,2025-07-02,écran illisible,2097,TECH-14
145,Le Havre — Zone Nord,2025-07-24,2025-08-07,câble endommagé,2588,TECH-16
146,Le Mans — Parc des Expos,2025-12-17,2026-01-07,câble endommagé,1288,TECH-04
147,Toulouse — Centre,2025-07-15,2025-07-31,communication réseau perdue,2337,TECH-09
148,La Roche — Hôpital,2025-08-20,2025-09-04,borne hors service,2698,TECH-18
149,Nantes — Hôpital,2025-07-23,2025-07-30,câble endommagé,-1,TECH-17
150,Poitiers — Stade,2025-03-25,2025-04-13,maintenance préventive,909,TECH-18
151,Bordeaux — Aéroport,2025-07-31,2025-08-13,câble endommagé,809,TECH-14
152,Quimper — Zone Nord,2025-05-19,2025-06-05,communication réseau perdue,1220,TECH-03
153,Limoges — Stade,2025-07-18,2025-07-19,câble endommagé,2562,TECH-02
154,Cherbourg — Parc des Expos,2025-12-01,2025-12-15,maintenance préventive,1882,TECH-09
155,Montpellier — Marché,2025-08-30,2025-09-12,communication réseau perdue,2556,TECH-17
156,Cherbourg — Aéroport,2025-11-12,2025-12-01,communication réseau perdue,2385,TECH-16
157,Caen — Université,2025-08-16,2025-09-02,maintenance préventive,1802,TECH-17
158,Montpellier — Hôpital,2025-07-19,2025-07-27,borne hors service,2005,TECH-17
159,Bordeaux — Marché,2025-03-08,2025-03-11,maintenance préventive,2262,TECH-08
160,Metz — Port,2025-06-13,2025-06-13,borne hors service,1115,TECH-17
161,Nantes — Gare,2025-12-17,2026-01-06,borne hors service,1450,TECH-11
162,Cherbourg — Aéroport,2025-04-04,2025-04-13,communication réseau perdue,249,TECH-13
163,Perpignan — Université,2025-04-09,2025-04-10,écran illisible,1265,TECH-06
164,Toulouse — Aéroport,2025-07-16,2025-07-22,maintenance préventive,2736,TECH-16
165,Le Havre — Stade,2025-07-27,2025-08-16,maintenance préventive,1300,TECH-10
166,Le Mans — Parc des Expos,2025-08-24,2025-08-29,communication réseau perdue,-1,TECH-10
167,Metz — Zone Nord,2025-01-05,2025-01-16,écran illisible,882,TECH-06
168,Évreux — Centre,2025-12-21,2026-01-11,câble endommagé,-1,TECH-12
169,Nantes — Parc des Expos,2025-07-12,2025-07-29,communication réseau perdue,2376,TECH-05
170,Rennes — Université,2025-07-28,2025-08-08,défaut de paiement carte,1048,TECH-04
171,Vannes — Université,2025-06-03,2025-06-23,maintenance préventive,1552,TECH-10
172,Angoulême — Port,2025-07-18,2025-07-18,maintenance préventive,857,TECH-05
173,Toulouse — Port,2025-02-01,2025-02-20,maintenance préventive,1792,TECH-03
174,Montpellier — Aéroport,2025-03-08,2025-03-20,maintenance préventive,2789,TECH-08
175,Perpignan — Parc des Expos,2025-02-11,2025-02-18,communication réseau perdue,2788,TECH-11
176,Rennes — Marché,2025-02-13,2025-02-21,câble endommagé,1326,TECH-03
177,Bordeaux — Université,2025-03-20,2025-04-09,maintenance préventive,1815,TECH-10
178,Metz — Zone Nord,2025-11-26,2025-12-09,défaut de paiement carte,700,TECH-04
179,Nantes — Gare,2025-04-04,2025-04-19,borne hors service,234,TECH-01
180,Nîmes — Stade,2025-07-26,2025-08-12,écran illisible,2829,TECH-02
181,La Roche — Parc des Expos,2025-05-03,2025-05-18,câble endommagé,-1,TECH-02
182,Le Havre — Port,2025-07-22,2025-08-07,câble endommagé,494,TECH-05
183,Cherbourg — Aéroport,2025-11-07,2025-11-14,maintenance préventive,2221,TECH-03
184,Cherbourg — Port,2025-02-11,2025-02-13,défaut de paiement carte,2390,TECH-18
185,Montpellier — Hôpital,2025-06-25,2025-07-14,communication réseau perdue,520,TECH-03
186,Cherbourg — Aéroport,2025-07-27,2025-07-28,câble endommagé,1242,TECH-09
187,Colmar — Stade,2025-10-31,2025-11-08,écran illisible,-1,TECH-10
188,Rouen — Stade,2025-12-05,2025-12-08,écran illisible,22,TECH-12
189,Vannes — Zone Nord,2025-09-08,2025-09-09,écran illisible,290,TECH-07
190,Angoulême — Port,2025-02-10,2025-02-11,communication réseau perdue,1753,TECH-06
191,Perpignan — Aéroport,2025-03-26,2025-03-30,communication réseau perdue,2084,TECH-09
192,Angers — Gare,2025-09-03,2025-09-18,maintenance préventive,-1,TECH-04
193,Cherbourg — Parc des Expos,2025-12-19,2025-12-21,écran illisible,974,TECH-18
194,Bordeaux — Université,2025-11-20,2025-12-11,câble endommagé,106,TECH-05
195,Rouen — Hôpital,2025-05-12,2025-05-21,défaut de paiement carte,-1,TECH-13
196,Cherbourg — Gare,2025-09-19,2025-10-03,borne hors service,1274,TECH-01
197,Strasbourg — Port,2025-10-10,2025-10-26,borne hors service,-1,TECH-05
198,Nancy — Gare,2025-08-28,2025-09-04,communication réseau perdue,935,TECH-16
199,Nancy — Port,2025-05-18,2025-06-04,communication réseau perdue,2673,TECH-01
200,Cherbourg — Port,2025-10-27,2025-10-30,borne hors service,1213,TECH-13
201,Limoges — Centre,2025-02-11,2025-02-23,maintenance préventive,-1,TECH-10
202,Limoges — Aéroport,2025-02-15,2025-03-07,défaut de paiement carte,646,TECH-18
203,Cherbourg — Aéroport,2025-11-03,2025-11-09,borne hors service,547,TECH-02
204,La Roche — Parc des Expos,2025-02-14,2025-03-07,communication réseau perdue,535,TECH-08
205,Nîmes — Stade,2025-09-13,2025-09-30,communication réseau perdue,1344,TECH-05
206,Perpignan — Gare,2025-11-27,2025-11-29,maintenance préventive,-1,TECH-05
207,Le Havre — Marché,2025-09-03,2025-09-10,écran illisible,2848,TECH-09
208,Le Havre — Marché,2025-10-16,2025-10-28,écran illisible,-1,TECH-08
209,Rouen — Stade,2025-11-06,2025-11-25,borne hors service,842,TECH-13
210,Rouen — Université,2025-06-09,2025-06-19,communication réseau perdue,-1,TECH-13
211,Poitiers — Stade,2025-11-16,2025-12-05,borne hors service,2285,TECH-13
212,Rennes — Stade,2025-07-04,2025-07-13,défaut de paiement carte,1595,TECH-03
213,Vannes — Centre,2025-07-14,2025-07-15,câble endommagé,2738,TECH-03
214,Montpellier — Port,2025-06-08,2025-06-16,défaut de paiement carte,1257,TECH-06
215,Laval — Hôpital,2025-03-20,2025-03-29,maintenance préventive,1003,TECH-05
216,Pau — Stade,2025-04-11,2025-04-16,communication réseau perdue,201,TECH-06
217,Albi — Université,2025-03-16,2025-03-24,borne hors service,2532,TECH-09
218,Évreux — Marché,2025-05-04,2025-05-17,câble endommagé,597,TECH-17
219,Limoges — Stade,2025-03-10,2025-03-23,écran illisible,163,TECH-16
220,Rouen — Université,2025-01-14,2025-01-27,défaut de paiement carte,-1,TECH-13
221,Vannes — Université,2025-04-12,2025-04-13,borne hors service,929,TECH-16
222,Limoges — Hôpital,2025-10-21,2025-11-03,écran illisible,2532,TECH-07
223,Cherbourg — Centre,2025-12-06,2025-12-08,défaut de paiement carte,1012,TECH-10
224,Quimper — Centre,2025-07-29,2025-08-18,défaut de paiement carte,1918,TECH-15
225,Poitiers — Stade,2025-08-13,2025-08-25,câble endommagé,2626,TECH-10
226,Cherbourg — Gare,2025-03-26,2025-04-05,maintenance préventive,2339,TECH-18
227,Limoges — Aéroport,2025-02-27,2025-03-13,communication réseau perdue,-1,TECH-12
228,Caen — Gare,2025-02-08,2025-02-16,communication réseau perdue,1028,TECH-13
229,Poitiers — Port,2025-01-10,2025-01-16,défaut de paiement carte,1058,TECH-10
230,Cherbourg — Zone Nord,2025-06-02,2025-06-06,communication réseau perdue,662,TECH-10
231,Quimper — Stade,2025-12-14,2025-12-26,borne hors service,2019,TECH-10
232,Le Havre — Aéroport,2025-03-08,2025-03-24,communication réseau perdue,2264,TECH-04
233,Perpignan — Aéroport,2025-10-25,2025-11-13,câble endommagé,916,TECH-06
234,Cherbourg — Parc des Expos,2025-05-08,2025-05-27,borne hors service,897,TECH-17
235,Perpignan — Gare,2025-06-28,2025-07-02,défaut de paiement carte,1902,TECH-09
236,Limoges — Zone Nord,2025-05-18,2025-05-24,câble endommagé,1695,TECH-01
237,Montpellier — Marché,2025-11-30,2025-12-02,défaut de paiement carte,367,TECH-14
238,Nîmes — Centre,2025-02-20,2025-03-07,maintenance préventive,2270,TECH-01
239,Nancy — Gare,2025-07-24,2025-08-09,communication réseau perdue,-1,TECH-16
240,Quimper — Centre,2025-03-04,2025-03-04,écran illisible,1294,TECH-07
241,Le Havre — Stade,2025-09-09,2025-09-18,borne hors service,1171,TECH-03
242,Caen — Gare,2025-01-14,2025-01-25,borne hors service,581,TECH-04
243,Strasbourg — Gare,2025-09-09,2025-09-28,borne hors service,233,TECH-03
244,Colmar — Université,2025-02-02,2025-02-10,défaut de paiement carte,-1,TECH-07
245,Vannes — Stade,2025-01-07,2025-01-10,communication réseau perdue,1860,TECH-18
246,Cherbourg — Gare,2025-05-08,2025-05-26,câble endommagé,1237,TECH-11
247,Le Havre — Zone Nord,2025-12-20,2026-01-03,écran illisible,797,TECH-06
248,Laval — Hôpital,2025-02-04,2025-02-06,câble endommagé,833,TECH-03
249,Angers — Port,2025-07-18,2025-07-19,défaut de paiement carte,-1,TECH-03
250,Le Havre — Stade,2025-11-04,2025-11-05,défaut de paiement carte,2282,TECH-09
251,Strasbourg — Stade,2025-03-14,2025-03-29,défaut de paiement carte,941,TECH-17
252,Nancy — Port,2025-05-11,2025-05-21,écran illisible,806,TECH-06
253,Perpignan — Parc des Expos,2025-05-23,2025-06-03,écran illisible,2286,TECH-14
254,Rouen — Gare,2025-02-25,2025-03-12,défaut de paiement carte,2380,TECH-10
255,Angers — Port,2025-09-08,2025-09-26,communication réseau perdue,1541,TECH-18
256,Vannes — Marché,2025-04-29,2025-05-09,câble endommagé,1019,TECH-07
257,Bordeaux — Aéroport,2025-03-04,2025-03-17,borne hors service,114,TECH-01
258,Brest — Hôpital,2025-12-23,2026-01-12,borne hors service,2435,TECH-15
259,Le Mans — Zone Nord,2025-11-13,2025-11-26,écran illisible,1182,TECH-09
260,Laval — Zone Nord,2025-09-12,2025-09-26,écran illisible,568,TECH-10
261,Montpellier — Stade,2025-12-13,2025-12-28,maintenance préventive,298,TECH-18
262,Toulouse — Université,2025-08-31,2025-09-15,maintenance préventive,987,TECH-11
263,Lorient — Hôpital,2025-10-22,2025-11-10,borne hors service,128,TECH-07
264,Angers — Parc des Expos,2025-06-30,2025-07-04,écran illisible,2626,TECH-01
265,Montpellier — Port,2025-05-01,2025-05-13,communication réseau perdue,153,TECH-11
266,Strasbourg — Stade,2025-10-12,2025-10-17,borne hors service,373,TECH-16
267,Perpignan — Aéroport,2025-04-06,2025-04-15,communication réseau perdue,2039,TECH-12
268,Albi — Centre,2025-06-06,2025-06-16,borne hors service,1263,TECH-11
269,Poitiers — Hôpital,2025-06-08,2025-06-15,écran illisible,700,TECH-09
270,Quimper — Centre,2025-09-28,2025-10-19,câble endommagé,2234,TECH-16
271,Montpellier — Aéroport,2025-08-08,2025-08-24,écran illisible,-1,TECH-12
272,Laval — Gare,2025-02-06,2025-02-17,câble endommagé,2749,TECH-04
273,Limoges — Université,2025-07-15,2025-07-21,défaut de paiement carte,2739,TECH-02
274,Caen — Université,2025-06-27,2025-07-01,défaut de paiement carte,2411,TECH-08
275,Brest — Parc des Expos,2025-10-22,2025-11-12,communication réseau perdue,1217,TECH-09
276,Laval — Zone Nord,2025-05-25,2025-06-01,câble endommagé,1411,TECH-11
277,Toulouse — Gare,2025-09-05,2025-09-07,défaut de paiement carte,1560,TECH-08
278,Reims — Marché,2025-03-26,2025-04-14,borne hors service,1122,TECH-14
279,Rennes — Stade,2025-02-07,2025-02-22,écran illisible,702,TECH-18
280,Bordeaux — Université,2025-01-13,2025-01-31,écran illisible,246,TECH-12
281,Laval — Université,2025-07-28,2025-07-29,écran illisible,-1,TECH-17
282,Brest — Hôpital,2025-07-26,2025-08-08,câble endommagé,198,TECH-17
283,Rouen — Stade,2025-08-21,2025-08-26,communication réseau perdue,190,TECH-13
284,Le Mans — Stade,2025-06-30,2025-06-30,borne hors service,1746,TECH-02
285,Le Havre — Port,2025-07-26,2025-07-31,défaut de paiement carte,-1,TECH-01
286,Rouen — Stade,2025-06-29,2025-07-17,défaut de paiement carte,2670,TECH-12
287,Cherbourg — Hôpital,2025-12-11,2025-12-16,écran illisible,1829,TECH-14
288,Rouen — Gare,2025-12-02,2025-12-18,écran illisible,2138,TECH-10
289,Nancy — Gare,2025-11-16,2025-11-21,maintenance préventive,-1,TECH-15
290,Strasbourg — Port,2025-08-23,2025-08-26,borne hors service,-1,TECH-10
291,Rennes — Centre,2025-09-26,2025-10-05,défaut de paiement carte,742,TECH-08
292,Quimper — Zone Nord,2025-02-27,2025-03-18,écran illisible,405,TECH-03
293,Montpellier — Marché,2025-10-26,2025-11-06,borne hors service,2436,TECH-01
294,Cherbourg — Parc des Expos,2025-10-13,2025-10-20,câble endommagé,673,TECH-13
295,Angoulême — Parc des Expos,2025-01-10,2025-01-13,défaut de paiement carte,882,TECH-10
296,Metz — Marché,2025-06-27,2025-07-11,défaut de paiement carte,1672,TECH-07
297,Nantes — Hôpital,2025-12-06,2025-12-15,écran illisible,-1,TECH-07
298,Toulouse — Aéroport,2025-04-08,2025-04-23,borne hors service,2092,TECH-16
299,Vannes — Université,2025-03-18,2025-03-26,borne hors service,-1,TECH-14
300,Caen — Université,2025-04-20,2025-05-03,maintenance préventive,1803,TECH-08
301,Lorient — Hôpital,2025-02-22,2025-02-28,câble endommagé,2110,TECH-18
302,Évreux — Aéroport,2025-09-07,2025-09-08,borne hors service,984,TECH-03
303,Toulouse — Aéroport,2025-10-27,2025-10-27,câble endommagé,2825,TECH-10
304,Vannes — Zone Nord,2025-11-19,2025-12-08,défaut de paiement carte,1591,TECH-08
305,Metz — Zone Nord,2025-06-01,2025-06-21,maintenance préventive,2400,TECH-16
306,Vannes — Centre,2025-03-14,2025-03-31,écran illisible,2046,TECH-18
307,Metz — Parc des Expos,2025-09-12,2025-09-17,maintenance préventive,575,TECH-07
308,Laval — Université,2025-12-05,2025-12-14,écran illisible,1904,TECH-11
309,Rennes — Port,2025-04-30,2025-05-19,écran illisible,415,TECH-11
310,Perpignan — Marché,2025-05-26,2025-05-28,borne hors service,282,TECH-14
311,Albi — Université,2025-11-25,2025-11-25,maintenance préventive,2610,TECH-15
312,Rouen — Université,2025-09-15,2025-09-22,borne hors service,2382,TECH-09
313,Rouen — Marché,2025-09-21,2025-10-02,borne hors service,1451,TECH-09
314,Brest — Hôpital,2025-05-22,2025-06-02,borne hors service,-1,TECH-07
315,Caen — Gare,2025-08-31,2025-09-12,défaut de paiement carte,693,TECH-04
316,Nîmes — Stade,2025-04-13,2025-04-25,maintenance préventive,696,TECH-17
317,Reims — Stade,2025-07-21,2025-08-07,écran illisible,86,TECH-07
318,Angoulême — Zone Nord,2025-08-21,2025-08-31,borne hors service,1790,TECH-02
319,Laval — Gare,2025-01-30,2025-02-05,maintenance préventive,1650,TECH-18
320,Reims — Stade,2025-12-26,2026-01-01,maintenance préventive,628,TECH-18
321,Reims — Zone Nord,2025-06-14,2025-06-29,écran illisible,968,TECH-12
322,Rouen — Université,2025-11-24,2025-11-29,communication réseau perdue,2190,TECH-03
323,Nancy — Université,2025-03-21,2025-03-25,défaut de paiement carte,704,TECH-14
324,Nantes — Port,2025-01-12,2025-02-01,défaut de paiement carte,1490,TECH-16
325,Limoges — Université,2025-03-26,2025-04-02,écran illisible,2753,TECH-13
326,Cherbourg — Gare,2025-08-25,2025-08-30,écran illisible,2803,TECH-12
327,Albi — Centre,2025-03-23,2025-04-08,câble endommagé,475,TECH-04
